,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note,PMID
1377,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR7,5ht7r_human,P34969,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919
1378,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1379,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1380,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1381,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1382,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1383,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1D,5ht1d_human,P28221,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1384,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1E,5ht1e_human,P28566,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1385,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR6,5ht6r_human,P50406,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1386,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR7,5ht7r_human,P34969,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919
1387,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0187,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1388,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmay2016_0189,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1389,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmay2016_0192,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1390,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmay2016_0193,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1391,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1D,5ht1d_human,P28221,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0198,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1392,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0199,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1393,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR1E,5ht1e_human,P28566,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0202,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1394,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR7,5ht7r_human,P34969,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0203,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1395,olanzapine,small molecule,Aminergic ,antagonist,,secondary,HTR6,5ht6r_human,P50406,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,MMAmay2016_0209,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919
1396,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,11752352|17316700|17848919|10227113
1397,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,11752352|17316700|17848919|10227113
1398,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,11752352|17316700|17848919|10227113
1399,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,11752352|17316700|17848919|10227113
1400,olanzapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmay2016_0206,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,11752352|17316700|17848919|10227113
1401,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,17848919|10227113
1402,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,17848919|10227113
1403,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,17848919|10227113
1404,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,17848919|10227113
1405,olanzapine,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,,17848919|10227113
1406,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,17848919|10227113
1407,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,17848919|10227113
1408,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,17848919|10227113
1409,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,17848919|10227113
1410,olanzapine,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,,17848919|10227113
1411,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919|10227113
1412,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919|10227113
1413,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919|10227113
1414,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919|10227113
1415,olanzapine,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,,17848919|10227113
1416,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919|10227113
1417,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919|10227113
1418,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919|10227113
1419,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919|10227113
1420,olanzapine,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,,17848919|10227113
1421,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,MMAmay2016_0185,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919|10227113
1422,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,MMAmay2016_0186,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919|10227113
1423,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,MMAmay2016_0188,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919|10227113
1424,olanzapine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,MMAmay2016_0194,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919|10227113
1425,olanzapine,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,MMAmay2016_0197,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,,17848919|10227113
1426,oxymetazoline,small molecule,Aminergic ,agonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_151,oxymetazoline,dry eye,4,,-,approved,1986,,20030735
1427,oxymetazoline,small molecule,Aminergic ,agonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_132,oxymetazoline,dry eye,4,,-,approved,1986,,1666366|21948594
1428,oxymetazoline,small molecule,Aminergic ,agonist,,secondary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_115,oxymetazoline,allergic conjunctivitis,4,,-,approved,1986,,20030735|23364786|21948594
1429,oxymetazoline,small molecule,Aminergic ,agonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_98,oxymetazoline,Antiglaucomic,4,,-,approved,1986,,20030735|23364786|21948594
1430,oxymorphone,small molecule,Peptide,agonist,,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1548,"oxymorphone hydrochloride, en3202,opana, opana er",Analgesics,4,,-,approved,1959,,17595308|14998329
1431,oxyphenonium,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Sep2016_76,oxyphenonium,digestive system disease,4,,-,approved,1982,,13413139
1432,pentoxifylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1586,"pentoxifylline, eht0201",amyotrophic lateral sclerosis (ALS),4,,-,approved,1984,,19997047
1433,pentoxifylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_316,pentoxifylline,irritable bowel syndrome,4,,-,approved,1984,,9251897
1434,pergolide,small molecule,Aminergic ,agonist,,secondary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_226,pergolide,Antiparkinson,4,,-,approved,1988,,18691132
1435,pergolide,small molecule,Aminergic ,agonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_231,pergolide,Antiparkinson,4,,-,approved,1988,,18691132
1436,pergolide,small molecule,Aminergic ,agonist,,secondary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD422,-,Antiparkinson,4,,-,approved,1988,,11752352|18691132|10641988
1437,pergolide,small molecule,Aminergic ,agonist,,secondary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_209,pergolide,Antiparkinson,4,,-,approved,1988,,18691132|10641988|1683537
1438,phenoxybenzamine,small molecule,Aminergic ,antagonist,,secondary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_114,phenoxybenzamine,adrenal gland pheochromocytoma,4,,-,approved,1953,,7969082
1439,phenoxybenzamine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_95,phenoxybenzamine,adrenal gland pheochromocytoma,4,,-,approved,1953,,7969082
1440,phenoxybenzamine,small molecule,Aminergic ,antagonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_136,phenoxybenzamine,cardiovascular disease,4,,-,approved,1953,,11395517
1441,phenoxybenzamine,small molecule,Aminergic ,antagonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_153,phenoxybenzamine,adrenal gland pheochromocytoma,4,,-,approved,1953,,11395517
1442,phentolamine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_102,phentolamine,cardiovascular disease,4,,-,approved,1952,,15306222
1443,phentolamine,small molecule,Aminergic ,antagonist,,secondary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_117,phentolamine,cardiovascular disease,4,,-,approved,1952,,15306222
1444,phentolamine,small molecule,Aminergic ,antagonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_137,phentolamine,cardiovascular disease,4,,-,approved,1952,,10845768
1445,phentolamine,small molecule,Aminergic ,antagonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_163,phentolamine,cardiovascular disease,4,,-,approved,1952,,10845768
1446,pimozide,small molecule,Aminergic ,antagonist,,secondary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_199,pimozide,psychosis,4,,-,approved,1984,,6138775
1447,pimozide,small molecule,Aminergic ,antagonist,,secondary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_230,pimozide,psychosis,4,,-,approved,1984,,824116
1448,promethazine,small molecule,Aminergic ,antagonist,,secondary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD463,-,Hypnotics and Sedatives; Anti-anxiety s; Anti-allergic,4,,-,approved,1951,,12476402
1449,promethazine,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD463,-,Hypnotics and Sedatives; Anti-anxiety s; Anti-allergic,4,,-,approved,1951,,12476402
1450,promethazine,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD463,-,Hypnotics and Sedatives; Anti-anxiety s; Anti-allergic,4,,-,approved,1951,,12476402
1451,promethazine,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD463,-,Hypnotics and Sedatives; Anti-anxiety s; Anti-allergic,4,,-,approved,1951,,12476402
1452,promethazine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD463,-,Hypnotics and Sedatives; Anti-anxiety s; Anti-allergic,4,,-,approved,1951,,12476402
1453,propafenone,small molecule,Aminergic ,antagonist,,secondary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_170,propafenone,cardiac arrhythmia,4,,-,approved,1989,,2468063
1454,propafenone,small molecule,Aminergic ,antagonist,,secondary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_177,propafenone,atrial fibrillation,4,,-,approved,1989,,2468063
1455,propantheline,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Sep2016_55,propantheline,digestive system disease,4,,-,approved,1953,,12049493
1456,propantheline,small molecule,Aminergic ,antagonist,,secondary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Sep2016_69,propantheline,digestive system disease,4,,-,approved,1953,,12049493
1457,propiomazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD467,-,Hypnotics and Sedatives,4,,-,approved,1960,,17139284|17016423
1458,propiomazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD467,-,Hypnotics and Sedatives,4,,-,approved,1960,,17139284|17016423
1459,propiomazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD467,-,Hypnotics and Sedatives,4,,-,approved,1960,,17139284|17016423
1460,propranolol,small molecule,Aminergic ,antagonist,,secondary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_178,propranolol,Antihypertensive,4,,-,approved,1967,,16082424|16177222|16706406|17628611|11752352
1461,quetiapine,small molecule,Aminergic ,antagonist,,secondary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1840,seroquel,Antipsychotic ; Anti-depressant,4,,-,approved,1997,,11132243|17848919
1462,risperidone,small molecule,Aminergic ,antagonist,,secondary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Sep2016_28,risperidone,schizophrenia,4,,-,approved,1993,,11132243|7898773
1463,solifenacin,small molecule,Aminergic ,antagonist,,secondary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1876,"solifenacin succinate, ym-905,vesicare",incontinence,4,,-,approved,2004,,19029429
1464,solifenacin,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1876,"solifenacin succinate, ym-905,vesicare",incontinence,4,,-,approved,2004,,19029429
1465,solifenacin,small molecule,Aminergic ,antagonist,,secondary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1876,"solifenacin succinate, ym-905,vesicare",incontinence,4,,-,approved,2004,,17139284|17016423|20590605|19029429
1466,solifenacin,small molecule,Aminergic ,antagonist,,secondary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1876,"solifenacin succinate, ym-905,vesicare",incontinence,4,,-,approved,2004,,20590605|19029429
1467,sufentanil,small molecule,Peptide,agonist,,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,242,"arx-01, sufentanil nanotab",Analgesics; adjuvant to anesthesia,4,,-,approved,1984,,1330549|8612823
1468,sufentanil,small molecule,Peptide,agonist,,secondary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,242,"arx-01, sufentanil nanotab",Analgesics; adjuvant to anesthesia,4,,-,approved,1984,,8612823|2467589
1469,tetrahydrozoline,small molecule,Aminergic ,agonist,,secondary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_120,tetrahydrozoline,nasal obstruction,4,,-,approved,1979,,18259967
1470,tetrahydrozoline,small molecule,Aminergic ,agonist,,secondary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_122,tetrahydrozoline,eye allergy,4,,-,approved,1979,,18259967
1471,tetrahydrozoline,small molecule,Aminergic ,agonist,,secondary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_139,tetrahydrozoline,nasal obstruction,4,,-,approved,1979,,18259967
1472,tetrahydrozoline,small molecule,Aminergic ,agonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_159,tetrahydrozoline,nasal obstruction,4,,-,approved,1979,,18259967
1473,tetrahydrozoline,small molecule,Aminergic ,agonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_94,tetrahydrozoline,nasal obstruction,4,,-,approved,1979,,18259967
1474,theophylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_318,theophylline,Anti-Asthmatic,4,,-,approved,1976,,9459566
1475,thioproperazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_374,thioproperazine,Antipsychotic,4,,-,approved,1962,,15695070
1476,thioridazine,small molecule,Aminergic ,antagonist,,secondary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Sep2016_34,thioridazine,psychosis,4,,-,approved,1962,,10991983
